Number;Type;X;Y;Z
1;2;75.881369;78.046029;131.945566
1;2;0.090455;78.046029;-46.008352
1;2;100.235749;78.046029;119.469077
1;2;-22.259517;78.046029;-30.219831
1;2;120.133978;78.046029;100.684532
1;2;-39.307738;78.046029;-8.815234
1;2;133.990972;78.046029;77.088297
1;2;-49.696158;78.046029;16.500361
1;2;140.702892;78.046029;50.560033
1;2;-52.597240;78.046029;43.710329
1;2;139.735071;78.046029;23.212969
1;2;-47.779886;78.046029;70.647139
1;2;131.164604;78.046029;-2.774446
1;2;-35.627844;78.046029;95.165020
1;2;115.674210;78.046029;-25.332068
1;2;-17.109138;78.046029;115.310892
1;2;94.497845;78.046029;-42.662970
1;2;6.301042;78.046029;129.479946
1;2;69.322405;78.046029;-53.386583
1;2;32.737854;78.046029;136.543484
1;2;42.153352;78.046029;-56.648669
1;2;60.095358;78.046029;135.938828
1;2;15.154958;78.046029;-52.189373
1;2;86.194270;78.046029;127.714145
1;2;-9.522102;78.046029;-40.363920
1;2;108.955566;78.046029;112.524608
1;2;-29.912066;78.046029;-22.114318
1;2;126.566094;78.046029;91.580207
1;2;-44.390683;78.046029;1.105680
1;2;137.623010;78.046029;66.549361
1;2;-51.804593;78.046029;27.446381
1;2;141.245525;78.046029;39.426013
1;2;-51.563209;78.046029;54.809502
1;2;137.145073;78.046029;12.370793
1;2;-43.685759;78.046029;81.015311
1;2;125.648293;78.046029;-12.461095
1;2;-28.799757;78.046029;103.976268
1;2;107.671012;78.046029;-33.091558
1;2;-8.091013;78.046029;121.863317
1;2;84.645290;78.046029;-47.877184
1;2;16.790827;78.046029;133.251586
1;2;141.109954;81.046029;40.281257
1;2;-51.549687;81.046029;53.943685
1;2;137.253870;81.046029;13.229853
1;2;-43.914698;81.046029;80.180201
1;2;125.992791;81.046029;-11.666651
1;2;-29.252920;81.046029;103.238389
1;2;108.223769;81.046029;-32.425014
1;2;-8.732301;81.046029;121.281449
1;2;85.362274;81.046029;-47.391638
1;2;16.012498;81.046029;132.872079
1;2;59.229438;81.046029;-55.374289
1;2;43.010321;81.046029;137.086978
1;2;31.906990;81.046029;-55.737074
1;2;70.110536;81.046029;133.590389
1;2;5.571419;81.046029;-48.451094
1;2;95.154356;81.046029;122.660847
1;2;-17.679398;81.046029;-34.096746
1;2;116.146805;81.046029;105.168995
1;2;-35.993314;81.046029;-13.817489
1;2;131.415635;81.046029;82.508222
1;2;-47.911454;81.046029;10.771244
1;2;139.744542;81.046029;56.483674
1;2;-52.484424;81.046029;37.710726
1;2;140.470048;81.046029;29.168450
1;2;-49.347946;81.046029;64.854976
1;2;133.534361;81.046029;2.738467
1;2;-38.751868;81.046029;90.041698
1;2;119.489974;81.046029;-20.700880
1;2;-21.540269;81.046029;111.264531
1;2;99.455653;81.046029;-39.282425
1;2;0.915786;81.046029;126.832877
1;2;75.027322;81.046029;-51.525972
1;2;26.827460;81.046029;135.506571
1;2;48.150928;81.046029;-56.456208
1;2;54.130643;81.046029;136.594671
